2012-09-23 22:42:25 status unpacked libattr1 1:2.4.46-5ubuntu1
2012-09-23 22:42:25 install libblkid1 <none> 2.20.1-1ubuntu3
2012-09-23 22:42:25 status half-installed libblkid1 2.20.1-1ubuntu3
2012-09-23 22:42:25 status unpacked libblkid1 2.20.1-1ubuntu3
2012-09-23 22:42:25 status unpacked libblkid1 2.20.1-1ubuntu3
2012-09-23 22:42:25 install libbz2-1.0 <none> 1.0.6-1
2012-09-23 22:42:25 status half-installed libbz2-1.0 1.0.6-1
2012-09-23 22:42:25 status unpacked libbz2-1.0 1.0.6-1
2012-09-23 22:42:25 status unpacked libbz2-1.0 1.0.6-1
2012-09-23 22:42:26 install libc-bin <none> 2.15-0ubuntu10
2012-09-23 22:42:26 status half-installed libc-bin 2.15-0ubuntu10
2012-09-23 22:42:26 status unpacked libc-bin 2.15-0ubuntu10
2012-09-23 22:42:26 status unpacked libc-bin 2.15-0ubuntu10
2012-09-23 22:42:26 upgrade libc6 2.15-0ubuntu10 2.15-0ubuntu10
2012-09-23 22:42:26 status half-configured libc6 2.15-0ubuntu10
2012-09-23 22:42:26 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:26 status half-installed libc6 2.15-0ubuntu10
2012-09-23 22:42:30 status half-installed libc6 2.15-0ubuntu10
2012-09-23 22:42:30 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:30 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:30 install libcomerr2 <none> 1.42-1ubuntu2
2012-09-23 22:42:30 status half-installed libcomerr2 1.42-1ubuntu2
2012-09-23 22:42:30 status unpacked libcomerr2 1.42-1ubuntu2
2012-09-23 22:42:30 status unpacked libcomerr2 1.42-1ubuntu2
2012-09-23 22:42:30 install libdb5.1 <none> 5.1.25-11build1
2012-09-23 22:42:30 status half-installed libdb5.1 5.1.25-11build1
2012-09-23 22:42:30 status unpacked libdb5.1 5.1.25-11build1
2012-09-23 22:42:30 status unpacked libdb5.1 5.1.25-11build1
2012-09-23 22:42:31 install libdbus-1-3 <none> 1.4.18-1ubuntu1
2012-09-23 22:42:31 status half-installed libdbus-1-3 1.4.18-1ubuntu1
2012-09-23 22:42:31 status unpacked libdbus-1-3 1.4.18-1ubuntu1
2012-09-23 22:42:31 status unpacked libdbus-1-3 1.4.18-1ubuntu1
2012-09-23 22:42:31 install libdrm-intel1 <none> 2.4.32-1ubuntu1
2012-09-23 22:42:31 status half-installed libdrm-intel1 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm-intel1 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm-intel1 2.4.32-1ubuntu1
2012-09-23 22:42:31 install libdrm-nouveau1a <none> 2.4.32-1ubuntu1
2012-09-23 22:42:31 status half-installed libdrm-nouveau1a 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm-nouveau1a 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm-nouveau1a 2.4.32-1ubuntu1
2012-09-23 22:42:31 install libdrm-radeon1 <none> 2.4.32-1ubuntu1
2012-09-23 22:42:31 status half-installed libdrm-radeon1 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm-radeon1 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm-radeon1 2.4.32-1ubuntu1
2012-09-23 22:42:31 install libdrm2 <none> 2.4.32-1ubuntu1
2012-09-23 22:42:31 status half-installed libdrm2 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm2 2.4.32-1ubuntu1
2012-09-23 22:42:31 status unpacked libdrm2 2.4.32-1ubuntu1
2012-09-23 22:42:31 install libelf1 <none> 0.152-1ubuntu3
2012-09-23 22:42:31 status half-installed libelf1 0.152-1ubuntu3
2012-09-23 22:42:31 status unpacked libelf1 0.152-1ubuntu3
2012-09-23 22:42:31 status unpacked libelf1 0.152-1ubuntu3
2012-09-23 22:42:32 install libffi6 <none> 3.0.11~rc1-5
2012-09-23 22:42:32 status half-installed libffi6 3.0.11~rc1-5
2012-09-23 22:42:32 status unpacked libffi6 3.0.11~rc1-5
2012-09-23 22:42:32 status unpacked libffi6 3.0.11~rc1-5
2012-09-23 22:42:32 install libgcc1 <none> 1:4.6.3-1ubuntu5
2012-09-23 22:42:32 status half-installed libgcc1 1:4.6.3-1ubuntu5
2012-09-23 22:42:32 status unpacked libgcc1 1:4.6.3-1ubuntu5
2012-09-23 22:42:32 status unpacked libgcc1 1:4.6.3-1ubuntu5
2012-09-23 22:42:32 install libglib2.0-0 <none> 2.32.1-0ubuntu2
2012-09-23 22:42:32 status half-installed libglib2.0-0 2.32.1-0ubuntu2
2012-09-23 22:42:32 status unpacked libglib2.0-0 2.32.1-0ubuntu2
2012-09-23 22:42:32 status unpacked libglib2.0-0 2.32.1-0ubuntu2
2012-09-23 22:42:32 install libklibc <none> 1.5.25-1ubuntu2
2012-09-23 22:42:32 status half-installed libklibc 1.5.25-1ubuntu2
2012-09-23 22:42:32 status unpacked libklibc 1.5.25-1ubuntu2
2012-09-23 22:42:32 status unpacked libklibc 1.5.25-1ubuntu2
2012-09-23 22:42:32 install liblzma5 <none> 5.1.1alpha+20110809-3
2012-09-23 22:42:32 status half-installed liblzma5 5.1.1alpha+20110809-3
2012-09-23 22:42:32 status unpacked liblzma5 5.1.1alpha+20110809-3
2012-09-23 22:42:32 status unpacked liblzma5 5.1.1alpha+20110809-3
2012-09-23 22:42:32 install libmount1 <none> 2.20.1-1ubuntu3
2012-09-23 22:42:32 status half-installed libmount1 2.20.1-1ubuntu3
2012-09-23 22:42:33 status unpacked libmount1 2.20.1-1ubuntu3
2012-09-23 22:42:33 status unpacked libmount1 2.20.1-1ubuntu3
2012-09-23 22:42:33 install libncurses5 <none> 5.9-4
2012-09-23 22:42:33 status half-installed libncurses5 5.9-4
2012-09-23 22:42:33 status unpacked libncurses5 5.9-4
2012-09-23 22:42:33 status unpacked libncurses5 5.9-4
2012-09-23 22:42:33 install libncursesw5 <none> 5.9-4
2012-09-23 22:42:33 status half-installed libncursesw5 5.9-4
2012-09-23 22:42:33 status unpacked libncursesw5 5.9-4
2012-09-23 22:42:33 status unpacked libncursesw5 5.9-4
2012-09-23 22:42:33 install libnih-dbus1 <none> 1.0.3-4ubuntu9
2012-09-23 22:42:33 status half-installed libnih-dbus1 1.0.3-4ubuntu9
2012-09-23 22:42:33 status unpacked libnih-dbus1 1.0.3-4ubuntu9
2012-09-23 22:42:33 status unpacked libnih-dbus1 1.0.3-4ubuntu9
2012-09-23 22:42:33 install libnih1 <none> 1.0.3-4ubuntu9
2012-09-23 22:42:33 status half-installed libnih1 1.0.3-4ubuntu9
2012-09-23 22:42:33 status unpacked libnih1 1.0.3-4ubuntu9
2012-09-23 22:42:33 status unpacked libnih1 1.0.3-4ubuntu9
2012-09-23 22:42:33 install libpam-modules <none> 1.1.3-7ubuntu2
2012-09-23 22:42:33 status half-installed libpam-modules 1.1.3-7ubuntu2
2012-09-23 22:42:35 status unpacked libpam-modules 1.1.3-7ubuntu2
2012-09-23 22:42:35 status unpacked libpam-modules 1.1.3-7ubuntu2
2012-09-23 22:42:35 install libpam-modules-bin <none> 1.1.3-7ubuntu2
2012-09-23 22:42:35 status half-installed libpam-modules-bin 1.1.3-7ubuntu2
2012-09-23 22:42:35 status unpacked libpam-modules-bin 1.1.3-7ubuntu2
2012-09-23 22:42:35 status unpacked libpam-modules-bin 1.1.3-7ubuntu2
2012-09-23 22:42:35 install libpam-runtime <none> 1.1.3-7ubuntu2
2012-09-23 22:42:35 status half-installed libpam-runtime 1.1.3-7ubuntu2
2012-09-23 22:42:35 status unpacked libpam-runtime 1.1.3-7ubuntu2
2012-09-23 22:42:35 status unpacked libpam-runtime 1.1.3-7ubuntu2
2012-09-23 22:42:36 install libpam0g <none> 1.1.3-7ubuntu2
2012-09-23 22:42:36 status half-installed libpam0g 1.1.3-7ubuntu2
2012-09-23 22:42:36 status unpacked libpam0g 1.1.3-7ubuntu2
2012-09-23 22:42:36 status unpacked libpam0g 1.1.3-7ubuntu2
2012-09-23 22:42:36 install libpciaccess0 <none> 0.12.902-1
2012-09-23 22:42:36 status half-installed libpciaccess0 0.12.902-1
2012-09-23 22:42:36 status unpacked libpciaccess0 0.12.902-1
2012-09-23 22:42:36 status unpacked libpciaccess0 0.12.902-1
2012-09-23 22:42:36 install libpcre3 <none> 8.12-4
2012-09-23 22:42:36 status half-installed libpcre3 8.12-4
2012-09-23 22:42:36 status unpacked libpcre3 8.12-4
2012-09-23 22:42:36 status unpacked libpcre3 8.12-4
2012-09-23 22:42:36 install libplymouth2 <none> 0.8.2-2ubuntu30
2012-09-23 22:42:36 status half-installed libplymouth2 0.8.2-2ubuntu30
2012-09-23 22:42:36 status unpacked libplymouth2 0.8.2-2ubuntu30
2012-09-23 22:42:36 status unpacked libplymouth2 0.8.2-2ubuntu30
2012-09-23 22:42:36 install libpng12-0 <none> 1.2.46-3ubuntu4
2012-09-23 22:42:36 status half-installed libpng12-0 1.2.46-3ubuntu4
2012-09-23 22:42:36 status unpacked libpng12-0 1.2.46-3ubuntu4
2012-09-23 22:42:36 status unpacked libpng12-0 1.2.46-3ubuntu4
2012-09-23 22:42:37 install libselinux1 <none> 2.1.0-4.1ubuntu1
2012-09-23 22:42:37 status half-installed libselinux1 2.1.0-4.1ubuntu1
2012-09-23 22:42:37 status unpacked libselinux1 2.1.0-4.1ubuntu1
2012-09-23 22:42:37 status unpacked libselinux1 2.1.0-4.1ubuntu1
2012-09-23 22:42:37 install libslang2 <none> 2.2.4-3ubuntu1
2012-09-23 22:42:37 status half-installed libslang2 2.2.4-3ubuntu1
2012-09-23 22:42:37 status unpacked libslang2 2.2.4-3ubuntu1
2012-09-23 22:42:37 status unpacked libslang2 2.2.4-3ubuntu1
2012-09-23 22:42:37 install libss2 <none> 1.42-1ubuntu2
2012-09-23 22:42:37 status half-installed libss2 1.42-1ubuntu2
2012-09-23 22:42:37 status unpacked libss2 1.42-1ubuntu2
2012-09-23 22:42:37 status unpacked libss2 1.42-1ubuntu2
2012-09-23 22:42:37 install libssl1.0.0 <none> 1.0.1-4ubuntu3
2012-09-23 22:42:37 status half-installed libssl1.0.0 1.0.1-4ubuntu3
2012-09-23 22:42:37 status unpacked libssl1.0.0 1.0.1-4ubuntu3
2012-09-23 22:42:37 status unpacked libssl1.0.0 1.0.1-4ubuntu3
2012-09-23 22:42:37 install libtinfo5 <none> 5.9-4
2012-09-23 22:42:37 status half-installed libtinfo5 5.9-4
2012-09-23 22:42:37 status unpacked libtinfo5 5.9-4
2012-09-23 22:42:37 status unpacked libtinfo5 5.9-4
2012-09-23 22:42:38 install libudev0 <none> 175-0ubuntu9
2012-09-23 22:42:38 status half-installed libudev0 175-0ubuntu9
2012-09-23 22:42:38 status unpacked libudev0 175-0ubuntu9
2012-09-23 22:42:38 status unpacked libudev0 175-0ubuntu9
2012-09-23 22:42:38 install libuuid1 <none> 2.20.1-1ubuntu3
2012-09-23 22:42:38 status half-installed libuuid1 2.20.1-1ubuntu3
2012-09-23 22:42:38 status unpacked libuuid1 2.20.1-1ubuntu3
2012-09-23 22:42:38 status unpacked libuuid1 2.20.1-1ubuntu3
2012-09-23 22:42:38 install locales <none> 2.13+git20120306-3
2012-09-23 22:42:38 status half-installed locales 2.13+git20120306-3
2012-09-23 22:42:38 status unpacked locales 2.13+git20120306-3
2012-09-23 22:42:38 status unpacked locales 2.13+git20120306-3
2012-09-23 22:42:39 install login <none> 1:4.1.4.2+svn3283-3ubuntu5
2012-09-23 22:42:39 status half-installed login 1:4.1.4.2+svn3283-3ubuntu5
2012-09-23 22:42:39 status unpacked login 1:4.1.4.2+svn3283-3ubuntu5
2012-09-23 22:42:39 status unpacked login 1:4.1.4.2+svn3283-3ubuntu5
2012-09-23 22:42:39 install lsb-base <none> 4.0-0ubuntu20
2012-09-23 22:42:39 status half-installed lsb-base 4.0-0ubuntu20
2012-09-23 22:42:39 status unpacked lsb-base 4.0-0ubuntu20
2012-09-23 22:42:39 status unpacked lsb-base 4.0-0ubuntu20
2012-09-23 22:42:39 install makedev <none> 2.3.1-89ubuntu2
2012-09-23 22:42:39 status half-installed makedev 2.3.1-89ubuntu2
2012-09-23 22:42:40 status unpacked makedev 2.3.1-89ubuntu2
2012-09-23 22:42:40 status unpacked makedev 2.3.1-89ubuntu2
2012-09-23 22:42:40 upgrade mawk 1.3.3-17 1.3.3-17
2012-09-23 22:42:40 status half-configured mawk 1.3.3-17
2012-09-23 22:42:40 status unpacked mawk 1.3.3-17
2012-09-23 22:42:40 status half-installed mawk 1.3.3-17
2012-09-23 22:42:40 status half-installed mawk 1.3.3-17
2012-09-23 22:42:40 status unpacked mawk 1.3.3-17
2012-09-23 22:42:40 status unpacked mawk 1.3.3-17
2012-09-23 22:42:40 install module-init-tools <none> 3.16-1ubuntu2
2012-09-23 22:42:40 status half-installed module-init-tools 3.16-1ubuntu2
2012-09-23 22:42:40 status unpacked module-init-tools 3.16-1ubuntu2
2012-09-23 22:42:40 status unpacked module-init-tools 3.16-1ubuntu2
2012-09-23 22:42:40 install mount <none> 2.20.1-1ubuntu3
2012-09-23 22:42:40 status half-installed mount 2.20.1-1ubuntu3
